!Series_title	"Next Generation Sequencing Facilitates Quantitative Analysis of Transcriptomes for advanced gastric cancer with different ferroptosis-related-scores"
!Series_geo_accession	"GSE184336"
!Series_status	"Public on Nov 29 2021"
!Series_submission_date	"Sep 17 2021"
!Series_last_update_date	"Sep 27 2022"
!Series_pubmed_id	"35083216"
!Series_pubmed_id	"35082793"
!Series_pubmed_id	"35620459"
!Series_pubmed_id	"36119489"
!Series_summary	"Gastric cancer is one of the leading causes of cancer mortality worldwide. We compared transcriptomic profiles of gastric cancer with different ferroptosis-related-scores to identify the prognostic significance of ferroptosis-related-score in gastric cancer."
!Series_overall_design	"High-throughput sequence profiles from 231 gastric tumors and paired normal 230 gastric tissues from gastric cancer patients"
!Series_type	"Expression profiling by high throughput sequencing"
!Series_contributor	"Yingwei,,Xue"
!Series_sample_id	"GSM5584208 GSM5584209 GSM5584210 GSM5584211 GSM5584212 GSM5584213 GSM5584214 GSM5584215 GSM5584216 GSM5584217 GSM5584218 GSM5584219 GSM5584220 GSM5584221 GSM5584222 GSM5584223 GSM5584224 GSM5584225 GSM5584226 GSM5584227 GSM5584228 GSM5584229 GSM5584230 GSM5584231 GSM5584232 GSM5584233 GSM5584234 GSM5584235 GSM5584236 GSM5584237 GSM5584238 GSM5584239 GSM5584240 GSM5584241 GSM5584242 GSM5584243 GSM5584244 GSM5584245 GSM5584246 GSM5584247 GSM5584248 GSM5584249 GSM5584250 GSM5584251 GSM5584252 GSM5584253 GSM5584254 GSM5584255 GSM5584256 GSM5584257 GSM5584258 GSM5584259 GSM5584260 GSM5584261 GSM5584262 GSM5584263 GSM5584264 GSM5584265 GSM5584266 GSM5584267 GSM5584268 GSM5584269 GSM5584270 GSM5584271 GSM5584272 GSM5584273 GSM5584274 GSM5584275 GSM5584276 GSM5584277 GSM5584278 GSM5584279 GSM5584280 GSM5584281 GSM5584282 GSM5584283 GSM5584284 GSM5584285 GSM5584286 GSM5584287 GSM5584288 GSM5584289 GSM5584290 GSM5584291 GSM5584292 GSM5584293 GSM5584294 GSM5584295 GSM5584296 GSM5584297 GSM5584298 GSM5584299 GSM5584300 GSM5584301 GSM5584302 GSM5584303 GSM5584304 GSM5584305 GSM5584306 GSM5584307 GSM5584308 GSM5584309 GSM5584310 GSM5584311 GSM5584312 GSM5584313 GSM5584314 GSM5584315 GSM5584316 GSM5584317 GSM5584318 GSM5584319 GSM5584320 GSM5584321 GSM5584322 GSM5584323 GSM5584324 GSM5584325 GSM5584326 GSM5584327 GSM5584328 GSM5584329 GSM5584330 GSM5584331 GSM5584332 GSM5584333 GSM5584334 GSM5584335 GSM5584336 GSM5584337 GSM5584338 GSM5584339 GSM5584340 GSM5584341 GSM5584342 GSM5584343 GSM5584344 GSM5584345 GSM5584346 GSM5584347 GSM5584348 GSM5584349 GSM5584350 GSM5584351 GSM5584352 GSM5584353 GSM5584354 GSM5584355 GSM5584356 GSM5584357 GSM5584358 GSM5584359 GSM5584360 GSM5584361 GSM5584362 GSM5584363 GSM5584364 GSM5584365 GSM5584366 GSM5584367 GSM5584368 GSM5584369 GSM5584370 GSM5584371 GSM5584372 GSM5584373 GSM5584374 GSM5584375 GSM5584376 GSM5584377 GSM5584378 GSM5584379 GSM5584380 GSM5584381 GSM5584382 GSM5584383 GSM5584384 GSM5584385 GSM5584386 GSM5584387 GSM5584388 GSM5584389 GSM5584390 GSM5584391 GSM5584392 GSM5584393 GSM5584394 GSM5584395 GSM5584396 GSM5584397 GSM5584398 GSM5584399 GSM5584400 GSM5584401 GSM5584402 GSM5584403 GSM5584404 GSM5584405 GSM5584406 GSM5584407 GSM5584408 GSM5584409 GSM5584410 GSM5584411 GSM5584412 GSM5584413 GSM5584414 GSM5584415 GSM5584416 GSM5584417 GSM5584418 GSM5584419 GSM5584420 GSM5584421 GSM5584422 GSM5584423 GSM5584424 GSM5584425 GSM5584426 GSM5584427 GSM5584428 GSM5584429 GSM5584430 GSM5584431 GSM5584432 GSM5584433 GSM5584434 GSM5584435 GSM5584436 GSM5584437 GSM5584438 GSM5584439 GSM5584440 GSM5584441 GSM5584442 GSM5584443 GSM5584444 GSM5584445 GSM5584446 GSM5584447 GSM5584448 GSM5584449 GSM5584450 GSM5584451 GSM5584452 GSM5584453 GSM5584454 GSM5584455 GSM5584456 GSM5584457 GSM5584458 GSM5584459 GSM5584460 GSM5584461 GSM5584462 GSM5584463 GSM5584464 GSM5584465 GSM5584466 GSM5584467 GSM5584468 GSM5584469 GSM5584470 GSM5584471 GSM5584472 GSM5584473 GSM5584474 GSM5584475 GSM5584476 GSM5584477 GSM5584478 GSM5584479 GSM5584480 GSM5584481 GSM5584482 GSM5584483 GSM5584484 GSM5584485 GSM5584486 GSM5584487 GSM5584488 GSM5584489 GSM5584490 GSM5584491 GSM5584492 GSM5584493 GSM5584494 GSM5584495 GSM5584496 GSM5584497 GSM5584498 GSM5584499 GSM5584500 GSM5584501 GSM5584502 GSM5584503 GSM5584504 GSM5584505 GSM5584506 GSM5584507 GSM5584508 GSM5584509 GSM5584510 GSM5584511 GSM5584512 GSM5584513 GSM5584514 GSM5584515 GSM5584516 GSM5584517 GSM5584518 GSM5584519 GSM5584520 GSM5584521 GSM5584522 GSM5584523 GSM5584524 GSM5584525 GSM5584526 GSM5584527 GSM5584528 GSM5584529 GSM5584530 GSM5584531 GSM5584532 GSM5584533 GSM5584534 GSM5584535 GSM5584536 GSM5584537 GSM5584538 GSM5584539 GSM5584540 GSM5584541 GSM5584542 GSM5584543 GSM5584544 GSM5584545 GSM5584546 GSM5584547 GSM5584548 GSM5584549 GSM5584550 GSM5584551 GSM5584552 GSM5584553 GSM5584554 GSM5584555 GSM5584556 GSM5584557 GSM5584558 GSM5584559 GSM5584560 GSM5584561 GSM5584562 GSM5584563 GSM5584564 GSM5584565 GSM5584566 GSM5584567 GSM5584568 GSM5584569 GSM5584570 GSM5584571 GSM5584572 GSM5584573 GSM5584574 GSM5584575 GSM5584576 GSM5584577 GSM5584578 GSM5584579 GSM5584580 GSM5584581 GSM5584582 GSM5584583 GSM5584584 GSM5584585 GSM5584586 GSM5584587 GSM5584588 GSM5584589 GSM5584590 GSM5584591 GSM5584592 GSM5584593 GSM5584594 GSM5584595 GSM5584596 GSM5584597 GSM5584598 GSM5584599 GSM5584600 GSM5584601 GSM5584602 GSM5584603 GSM5584604 GSM5584605 GSM5584606 GSM5584607 GSM5584608 GSM5584609 GSM5584610 GSM5584611 GSM5584612 GSM5584613 GSM5584614 GSM5584615 GSM5584616 GSM5584617 GSM5584618 GSM5584619 GSM5584620 GSM5584621 GSM5584622 GSM5584623 GSM5584624 GSM5584626 GSM5584628 GSM5584630 GSM5584632 GSM5584634 GSM5584636 GSM5584638 GSM5584640 GSM5584641 GSM5584642 GSM5584643 GSM5584644 GSM5584645 GSM5584646 GSM5584647 GSM5584648 GSM5584649 GSM5584650 GSM5584651 GSM5584652 GSM5584653 GSM5584654 GSM5584655 GSM5584656 GSM5584657 GSM5584658 GSM5584659 GSM5584660 GSM5584661 GSM5584662 GSM5584663 GSM5584664 GSM5584665 GSM5584666 GSM5584667 GSM5584668 GSM5584669 GSM5584670 GSM5584671 GSM5584672 GSM5584673 GSM5584674 GSM5584675 GSM5584676 "
!Series_contact_name	"Yingwei,,Xue"
!Series_contact_email	"xueyingwei@hrbmu.edu.cn"
!Series_contact_department	"Department of Gastrointestinal Oncology"
!Series_contact_institute	"Harbin Medical University Cancer Hospital"
!Series_contact_address	"150, Haping St, Nangang District"
!Series_contact_city	"Harbin"
!Series_contact_zip/postal_code	"150080"
!Series_contact_country	"China"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE184nnn/GSE184336/suppl/GSE184336_Raw_gene_counts_matrix.txt.gz"
!Series_platform_id	"GPL11154"
!Series_platform_taxid	"9606"
!Series_sample_taxid	"9606"
!Series_relation	"BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA764173"
!Series_relation	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP337610"

