Sample_ID,Sample_Characteristics
B100,gastric tumor
B101,gastric tumor
B102,gastric tumor
B103,gastric tumor
B104,gastric tumor
B105,gastric tumor
B106,gastric tumor
B107,gastric tumor
B108,gastric tumor
B109,gastric tumor
B110,gastric tumor
B111,gastric tumor
B112,gastric tumor
B113,gastric tumor
B114,gastric tumor
B115,gastric tumor
B116,gastric tumor
B117,gastric tumor
B118,gastric tumor
B119,gastric tumor
B120,gastric tumor
B121,gastric tumor
B122,gastric tumor
B123,gastric tumor
B124,paired normal gastric tissue
B125,paired normal gastric tissue
B126,paired normal gastric tissue
B127,paired normal gastric tissue
B129,paired normal gastric tissue
B130,paired normal gastric tissue
B131,paired normal gastric tissue
B132,paired normal gastric tissue
B133,paired normal gastric tissue
B134,paired normal gastric tissue
B135,paired normal gastric tissue
B136,paired normal gastric tissue
B137,paired normal gastric tissue
B138,paired normal gastric tissue
B139,paired normal gastric tissue
B140,paired normal gastric tissue
B141,paired normal gastric tissue
B142,paired normal gastric tissue
B143,paired normal gastric tissue
B144,paired normal gastric tissue
B145,paired normal gastric tissue
B146,paired normal gastric tissue
B147,paired normal gastric tissue
B148,paired normal gastric tissue
B149,paired normal gastric tissue
B150,paired normal gastric tissue
B151,paired normal gastric tissue
B152,paired normal gastric tissue
B153,paired normal gastric tissue
B154,paired normal gastric tissue
B155,paired normal gastric tissue
B156,paired normal gastric tissue
B157,paired normal gastric tissue
B158,paired normal gastric tissue
B159,paired normal gastric tissue
B160,paired normal gastric tissue
B161,paired normal gastric tissue
B162,paired normal gastric tissue
B163,paired normal gastric tissue
B164,paired normal gastric tissue
B165,paired normal gastric tissue
B166,paired normal gastric tissue
B167,paired normal gastric tissue
B168,paired normal gastric tissue
B169,paired normal gastric tissue
B170,paired normal gastric tissue
B171,gastric tumor
B172,gastric tumor
B173,gastric tumor
B174,gastric tumor
B175,gastric tumor
B176,gastric tumor
B177,gastric tumor
B178,gastric tumor
B179,gastric tumor
B180,gastric tumor
B181,gastric tumor
B182,gastric tumor
B183,gastric tumor
B184,gastric tumor
B185,gastric tumor
B186,gastric tumor
B187,gastric tumor
B188,gastric tumor
B189,gastric tumor
B190,gastric tumor
B191,gastric tumor
B192,gastric tumor
B193,gastric tumor
B194,gastric tumor
B195,gastric tumor
B196,gastric tumor
B197,gastric tumor
B198,gastric tumor
B199,gastric tumor
B200,gastric tumor
B201,gastric tumor
B202,gastric tumor
B203,gastric tumor
B204,gastric tumor
B205,gastric tumor
B206,gastric tumor
B207,gastric tumor
B208,gastric tumor
B209,gastric tumor
B210,paired normal gastric tissue
B211,paired normal gastric tissue
B212,paired normal gastric tissue
B213,paired normal gastric tissue
B214,paired normal gastric tissue
B215,paired normal gastric tissue
B216,paired normal gastric tissue
B217,paired normal gastric tissue
B218,paired normal gastric tissue
B219,paired normal gastric tissue
B220,paired normal gastric tissue
B221,paired normal gastric tissue
B222,paired normal gastric tissue
B223,paired normal gastric tissue
B224,paired normal gastric tissue
B225,paired normal gastric tissue
B226,paired normal gastric tissue
B227,paired normal gastric tissue
B228,paired normal gastric tissue
B229,paired normal gastric tissue
B230,paired normal gastric tissue
B231,paired normal gastric tissue
B232,paired normal gastric tissue
B233,paired normal gastric tissue
B234,paired normal gastric tissue
B235,paired normal gastric tissue
B236,paired normal gastric tissue
B237,paired normal gastric tissue
B238,paired normal gastric tissue
B239,paired normal gastric tissue
B240,paired normal gastric tissue
B241,paired normal gastric tissue
B242,paired normal gastric tissue
B243,paired normal gastric tissue
B244,paired normal gastric tissue
B245,paired normal gastric tissue
B246,paired normal gastric tissue
B247,paired normal gastric tissue
B248,paired normal gastric tissue
B249,gastric tumor
B250,gastric tumor
B251,gastric tumor
B252,gastric tumor
B253,gastric tumor
B254,gastric tumor
B255,gastric tumor
B256,gastric tumor
B257,gastric tumor
B258,gastric tumor
B259,gastric tumor
B260,gastric tumor
B261,gastric tumor
B262,gastric tumor
B263,gastric tumor
B264,gastric tumor
B265,gastric tumor
B266,gastric tumor
B267,gastric tumor
B268,gastric tumor
B269,gastric tumor
